	0	1	2	3	4	5	6	7	8	9	0.CONCEPT_NAMES
trm_4a3fd79d09af8	prefrontal	primary	somatosensory	prefrontal cortex	premotor cortex	hand	premotor	contralateral	motor	tactile	auditory word recognition
trm_558c7439832d9	inferior occipital	face	fusiform	face ffa	occipital	ffa	fusiform face	faces	fusiform gyrus	occipito temporal	visual letter recognition
trm_557b4aeaeb744	fusiform	face	occipito temporal	occipito	task	state	color	resting	visual	working memory	tool maintenance
trm_558c7b14c076e	visual	intraparietal	intraparietal sulcus	occipital	ips	superior parietal	extrastriate	visual cortex	eye	visually	auditory sentence recognition
trm_4a3fd79d0a775	cingulate	cingulate cortex	anterior cingulate	medial prefrontal	posterior cingulate	default mode	default	mode	mode network	anterior	language comprehension
trm_557b482a7c62b	occipital	visual	lateral occipital	occipito	object	objects	occipito temporal	occipital cortex	v1	fusiform	emotional face recognition
trm_557b4b7e68727	task	working memory	working	tasks	parietal	intraparietal sulcus	intraparietal	medial prefrontal	fronto parietal	state	visual place recognition
trm_557b48aeb7d58	visual	occipital	intraparietal	intraparietal sulcus	object	state	medial prefrontal	occipito	ips	color	motion detection
trm_55b6b952c1b4c	contralateral	hand	ipsilateral	finger	motor task	primary	motor cortex	sensorimotor cortex	hands	m1	right toe response execution
trm_4a3fd79d0a1d1	finger	finger tapping	finger movements	hand	tapping	motor cortex	m1	motor	primary motor	cerebellum	emotional suppression
trm_4a3fd79d09c5b	foot	sma	supplementary	supplementary motor	posterior cingulate	motor sma	extension	motor	limb	execution	causal inference
trm_4a3fd79d0b89e	fusiform	objects	fusiform gyrus	occipito temporal	occipito	occipitotemporal	face	object	ffa	fusiform face	sentence processing
trm_4a3fd79d0b967	premotor	motor	premotor cortex	supplementary	supplementary motor	movement	motor imagery	sma	somatosensory	motor sma	recognition
trm_557b4a913f8cc	early visual	v1	lingual gyrus	visual cortex	erp	occipital cortex	lingual	occipital lobe	act	just	risk processing
trm_559f09a5cdca9	intraparietal	visual	intraparietal sulcus	object	motion	sulcus	observation	moving	superior parietal	cingulate	subjective food value
trm_4a3fd79d0a30c	visual	occipital	lateral occipital	object	parieto occipital	grasping	motion	mt	vision	shape	face recognition
trm_51a690a7492eb	finger	finger tapping	finger movements	hand	tapping	motor cortex	m1	motor	primary motor	cerebellum	emotion regulation
trm_4a3fd79d0aab0	visual	state	medial prefrontal	posterior cingulate	occipital	resting	network dmn	default	occipito	resting state	object recognition
trm_5519b80525e89	visual	extrastriate	occipital	visual cortex	occipital cortex	v5	lateral occipital	v1	mt	occipito	stimulus detection
trm_558c7b5228ed4	temporal sulcus	temporal	theory mind	v1	middle temporal	field	dorsal premotor	posterior superior	psts	mind	visual sentence recognition
trm_557b4891e9265	visual	occipital	fusiform	occipito	occipito temporal	lateral occipital	objects	object	fusiform gyrus	occipital cortex	feature comparison
trm_4ee8facd77dfc	finger	finger tapping	finger movements	hand	tapping	motor cortex	m1	motor	primary motor	cerebellum	self control
trm_557b4b56de455	finger	index finger	finger movements	tapping	finger tapping	cerebellum	cortex supplementary	cerebellar	movements	premotor cortex	visual object detection
trm_5534111a8bc96	visual	occipital	occipital cortex	lateral occipital	extrastriate	visual cortex	v1	occipito	mt	object	punishment processing
trm_557b4b7176394	supplementary	sma	working memory	working	supplementary motor	tasks	motor	premotor	pre sma	parietal	visual recognition
trm_4a3fd79d0afcf	auditory	auditory cortex	sounds	listening	heschl	heschl gyrus	acoustic	primary auditory	speech	temporale	risk
trm_4a3fd79d09d93	intraparietal	premotor	grasping	action	intraparietal sulcus	movements	hand	visually	object	execution	color perception
trm_4c3e05903e4bb	state	task	intraparietal	tasks	intraparietal sulcus	resting	visual	resting state	working memory	working	updating
trm_557b4a7315f1b	execution	supplementary motor	supplementary	task	sma	premotor	tasks	motor	emotional	parietal	response execution
trm_4a3fd79d0af66	visual	occipital	extrastriate	visual cortex	v1	occipito	occipito temporal	occipital cortex	lateral occipital	fusiform	response inhibition
trm_557b495cdde57	v1	early visual	erp	visual cortex	matching	occipital lobe	occipital cortex	visual stimuli	stimuli	extrastriate	potential monetary reward
trm_557b4abe521af	visual	fusiform	occipito	occipito temporal	occipital	objects	occipitotemporal	lateral occipital	fusiform gyrus	ventral visual	spatial selective attention
trm_5159beaf80413	speech production	production	somatosensory	premotor	premotor cortex	motor	ventral premotor	sensorimotor	overt	s1	animacy perception
trm_557b4855a12b4	mt	v5	occipital	motion	listening	sentences	sentence	syntactic	speech	listened	emotional self-evaluation
trm_4a3fd79d0b4a9	visual	intraparietal	intraparietal sulcus	state	task	ips	medial prefrontal	posterior cingulate	sulcus ips	resting	visual object recognition
trm_568427366401c	fusiform	objects	fusiform gyrus	occipito temporal	occipito	face	occipitotemporal	object	ffa	fusiform face	sentence recognition 
trm_55ef153d47bc0	early visual	v1	lingual gyrus	visual cortex	erp	occipital cortex	lingual	occipital lobe	act	just	confidence judgment
trm_4a3fd79d09c28	motor	finger	movement	movements	premotor cortex	premotor	contralateral primary	hand	supplementary motor	supplementary	categorization
trm_557b476527a27	medial prefrontal	posterior cingulate	intraparietal sulcus	intraparietal	default	medial	state	parietal	default mode	mode network	auditory tone discrimination
trm_4a3fd79d0b58f	inferior frontal	ifg	gyrus ifg	language	phonological	resting state	resting	frontal gyrus	frontal	inferior	word recognition
trm_557b478ce1c24	sma	premotor cortex	premotor	supplementary	supplementary motor	motor	motor sma	ventral premotor	execution	pre sma	color recognition
trm_56798c5f25b0c	visual	occipital	intraparietal	intraparietal sulcus	object	occipito	color	task	ips	state	context representation
trm_4a3fd79d0a20c	visual	state	resting	cingulate	resting state	occipital	occipito	posterior cingulate	medial prefrontal	occipito temporal	error detection
trm_55b6b92c1fd76	premotor	motor	execution	premotor cortex	movements	supplementary	supplementary motor	hand	negative	superior parietal	left finger response execution
trm_559f0986182cc	posterior cingulate	visual	cingulate	state	resting	resting state	network dmn	cingulate cortex	mode network	dmn	visual object maintenance
trm_4a3fd79d0a723	intraparietal	intraparietal sulcus	sulcus	visual	object	motion	observation	action	superior parietal	parietal	judgment
trm_4a3fd79d0a613	visual	occipital	extrastriate	visual cortex	v1	occipito	occipito temporal	occipital cortex	lateral occipital	fusiform	inhibition
trm_4a3fd79d0b64e	premotor cortex	finger	movement	premotor	movements	motor	tapping	motor cortex	hand	contralateral primary	risk seeking
trm_557b499fac085	precuneus	parietal	parietal cortex	frontoparietal	inferior parietal	frontal parietal	parietal network	network	memory load	shifting	resistance to distractor inference
trm_55ef1fd2bc418	fusiform	face	fusiform face	ffa	occipito temporal	face ffa	fusiform gyrus	occipito	visual	occipitotemporal	visual string recognition
trm_55ef687f48a9d	working memory	working	dorsolateral	dorsolateral prefrontal	task	superior temporal	temporal sulcus	parietal cortex	frontoparietal	memory	auditory recognition
trm_557b48e337218	visual	v1	occipital	visual cortex	occipital cortex	primary visual	extrastriate	vision	mt	visual field	negative feedback processing
trm_557b4b8cd05ca	fusiform	face	occipito temporal	occipito	task	state	color	resting	visual	working memory	visual tool recognition
trm_5678a999f1c19	early visual	contralateral	m1	v1	sensorimotor cortex	primary sensorimotor	index finger	finger	primary	motor cortex	numerical comparison
trm_559f0a5b4cd36	visual	occipital	intraparietal	intraparietal sulcus	object	occipito	color	task	ips	state	monetary reward prediction error
trm_558c73f3c8c6f	speech production	production	vocal	pitch	auditory cortices	overt	sparse	speech	heschl	heschl gyrus	visual pseudoword recognition
trm_557b4acdee820	fusiform	face	fusiform face	ffa	occipito temporal	face ffa	fusiform gyrus	occipito	visual	occipitotemporal	string maintenance
trm_4a3fd79d0a5ed	foot	sma	supplementary	supplementary motor	posterior cingulate	motor sma	extension	motor	limb	execution	inference
trm_557b49ad14adf	precuneus	parietal	parietal cortex	frontoparietal	inferior parietal	frontal parietal	parietal network	network	memory load	shifting	response conflict
trm_557b4af7cc1cb	visual	occipital	visual cortex	occipital cortex	objects	lateral occipital	occipito	v1	object	extrastriate	visual body recognition
trm_557b471bc6cd8	visual	occipital	intraparietal	intraparietal sulcus	object	state	medial prefrontal	occipito	ips	color	animacy decision
trm_557b477b4a15f	visual	occipital	visual cortex	occipital cortex	objects	lateral occipital	occipito	v1	object	extrastriate	body maintenance
trm_4a3fd79d0af71	visual	occipital	visual cortex	v1	perceptual	occipital cortex	extrastriate	object	occipito	occipito temporal	response selection
trm_4a3fd79d09902	visual	occipital	v1	spatial	intraparietal sulcus	intraparietal	early visual	visual cortex	lingual	color	attention
trm_55ef3ba010121	visual	occipito	occipito temporal	fusiform	occipital	objects	lateral occipital	object	perceptual	occipitotemporal	vocal response execution
trm_567982752ff4a	premotor cortex	finger	movement	premotor	movements	motor	tapping	motor cortex	hand	contralateral primary	decision under uncertainty
trm_55b6b96e77df6	posterior superior	psts	sulcus psts	temporal sulcus	sulcus sts	sts	sulcus	eye	eye movements	superior temporal	left toe response execution
trm_557b49851e991	visual	object	occipital	objects	occipito	occipito temporal	perceptual	lateral occipital	motion	extrastriate	proactive control
trm_4a3fd79d0b4b5	dorsolateral	dorsolateral prefrontal	dlpfc	executive	face	fusiform	faces	prefrontal	cortex dlpfc	cognitive control	visual perception
trm_558c7ae1eaf86	sulcus	prefrontal cortex	prefrontal	premotor cortex	premotor	movements	motion	ventral premotor	observation	actions	arithmetic processing
trm_557b4b154e0d9	visual	occipital	lateral occipital	object	parieto occipital	grasping	motion	mt	vision	shape	visual face recognition
trm_4a3fd79d0a398	visual	occipital	intraparietal	intraparietal sulcus	task	tasks	ips	v1	state	color	form perception
trm_4a3fd79d0b5a7	working memory	working	sulcus ips	ips	intraparietal sulcus	interference	dorsolateral	intraparietal	state	resting	working memory
trm_557b4993a0fdd	v1	visual cortex	visual	occipital	occipital cortex	early visual	primary visual	extrastriate	visual field	occipito	reinforcement learning
trm_4a3fd79d0b802	fusiform	objects	fusiform gyrus	occipito temporal	occipito	occipitotemporal	face	object	ffa	fusiform face	language processing
trm_4a3fd79d0b1b2	visual	occipital	v1	spatial	intraparietal sulcus	intraparietal	early visual	visual cortex	lingual	color	spatial attention
trm_4a3fd79d0ab7c	visual	intraparietal sulcus	intraparietal	occipital	ips	task	sulcus ips	color	attentional	shape	perception
trm_557b4a81a4a17	auditory	sounds	auditory cortex	listening	acoustic	heschl	heschl gyrus	temporale	planum temporale	planum	reward anticipation
trm_557b4b652cbec	occipital	fusiform	visual	lateral occipital	pain	occipito temporal	occipito	objects	face	fusiform gyrus	visual pattern recognition
trm_557b4b47d994a	visual	occipital	object	objects	intraparietal	intraparietal sulcus	occipito	occipito temporal	lateral occipital	ips	visual number recognition
trm_558c736199abd	intraparietal	intraparietal sulcus	sulcus	visual	object	motion	observation	action	superior parietal	parietal	subjective value judgment
trm_557b4b9ccdc4a	inferior frontal	ifg	gyrus ifg	language	phonological	resting state	resting	frontal gyrus	frontal	inferior	visual word recognition
trm_4a3fd79d0a891	premotor	motor	premotor cortex	supplementary	supplementary motor	movement	motor imagery	sma	somatosensory	motor sma	memory
trm_555cfb890d721	sma	premotor	execution	supplementary	supplementary motor	premotor cortex	motor imagery	motor	movements	ventral premotor	relational comparison
trm_557b48f22ba99	cuneus	precuneus	language	inferior frontal	lingual	inferior	syntactic	frontal gyrus	gyrus ifg	sentences	numerical scale judgment
trm_4c3e04d656f06	precuneus	parietal	parietal cortex	frontoparietal	inferior parietal	frontal parietal	parietal network	network	memory load	shifting	interference resolution
trm_55b6b910b4b23	visual	occipital	v1	visual cortex	extrastriate	occipital cortex	occipito	occipito temporal	lateral occipital	objects	right finger response execution
trm_5519b7525d7a2	intraparietal	intraparietal sulcus	parietal	parietal cortex	ips	sulcus ips	superior parietal	anterior intraparietal	premotor	execution	discrimination
trm_557b4add1837e	somatosensory	motor	premotor	premotor cortex	primary	tactile	supramarginal	supplementary motor	ventral premotor	finger	task difficulty
trm_557b4b3a6a34d	visual	intraparietal	intraparietal sulcus	occipital	ips	sulcus ips	parietal	object	lateral occipital	occipito	visual form recognition
trm_558c7b707f606	fusiform	fusiform gyrus	objects	occipito	occipito temporal	ventral visual	face ffa	occipital	fusiform face	visual	left hand response execution
trm_55b6b9d7c9435	task	acoustic	sounds	listening	working memory	working	auditory cortex	intraparietal	intraparietal sulcus	superior temporal	working memory maintenance
trm_55c298bbe56d5	speech production	production	working memory	working	intraparietal	task	ips	calculation	intraparietal sulcus	parietal cortex	high energy density food recognition
trm_4a3fd79d0aa76	finger	movements	cerebellar	finger movements	premotor cortex	premotor	hand	cerebellum	grasping	motor	object detection
trm_4a3fd79d09849	object	visual	objects	lateral occipital	occipital	occipito temporal	occipito	extrastriate	observation	grasping	anticipation
trm_557b47abe9a34	default mode	default	mode network	dmn	posterior cingulate	mode	network dmn	resting	medial prefrontal	state	decision certainty
trm_557b48a224b95	visual	object	objects	lateral occipital	occipital	listening	occipito temporal	extrastriate	occipito	acoustic	loss anticipation
trm_4a3fd79d0a908	visual	occipital	intraparietal	intraparietal sulcus	object	occipito	color	task	ips	state	mental representation
trm_557b4817db34d	early visual	v1	lingual gyrus	visual cortex	erp	occipital cortex	lingual	occipital lobe	act	just	economic value processing
trm_4a3fd79d0a33b	ventral premotor	v5	premotor cortex	movements	premotor	prefrontal cortex	prefrontal	independent component	static	finger	feedback processing
trm_4a3fd79d0a7bb	v1	visual cortex	visual	occipital	occipital cortex	early visual	primary visual	extrastriate	visual field	occipito	learning
trm_4a3fd79d0b13d	finger	finger movements	finger tapping	precuneus	sequential	tapping	coordination	vision	occipital	motor task	social cognition
trm_557b491318742	auditory cortex	sounds	auditory	listening	superior temporal	acoustic	heschl	heschl gyrus	planum	planum temporale	oddball detection
trm_55b6b9a666604	visual	lateral occipital	occipital	objects	object	extrastriate	occipito temporal	occipito	motion	occipitotemporal	working memory updating
trm_557b493e4203a	language	temporal sulcus	sentences	speech	superior temporal	reading	sentence	temporal	word	comprehension	positive feedback processing
trm_4aae62e4ad209	state	posterior cingulate	resting	resting state	default	mode network	medial prefrontal	default mode	occipito	occipito temporal	cognitive control
trm_4a3fd79d0ba30	dorsolateral	dorsolateral prefrontal	temporal	anterior temporal	control	comprehension	semantic	working memory	error	task	maintenance
trm_557b4b05ae470	auditory	sounds	auditory cortex	listening	speech	acoustic	superior temporal	heschl	heschl gyrus	stg	visual color discrimination
trm_4a3fd79d0a17f	vmpfc	ventromedial prefrontal	ventromedial	cortex vmpfc	medial prefrontal	default	default mode	mode	posterior cingulate	prefrontal cortex	emotion
trm_557b49206928b	fusiform	face	fusiform gyrus	fusiform face	visual	face ffa	ffa	occipito	occipito temporal	extrastriate	pattern maintenance
trm_557b494ca540d	intraparietal	intraparietal sulcus	parietal	parietal cortex	anterior intraparietal	ips	sulcus ips	premotor	superior parietal	posterior parietal	potential monetary loss
trm_557b493133416	visual	lateral occipital	fusiform	occipital	occipito temporal	objects	occipito	occipitotemporal	face	fusiform gyrus	place maintenance
trm_4a3fd79d0a038	supplementary	supplementary motor	sma	motor	motor imagery	motor sma	premotor	movements	foot	movement	decision making
trm_55c6f87595b39	somatosensory	primary	somatosensory cortex	contralateral	somatosensory cortices	ipsilateral	primary motor	motor cortex	stimulation	primary somatosensory	face maintenance
trm_557b4bb7cf05b	intraparietal	task	intraparietal sulcus	visual	working memory	working	tasks	ips	state	sulcus ips	word maintenance
trm_55b6b98b88f45	visual	occipital	task	objects	object	occipito	occipito temporal	intraparietal	intraparietal sulcus	color	tongue response execution
trm_4a3fd79d0b665	occipital	visual	lateral occipital	occipito	object	objects	occipito temporal	occipital cortex	v1	fusiform	emotion recognition
trm_4a3fd79d0b392	finger	finger movements	finger tapping	precuneus	sequential	tapping	coordination	vision	occipital	motor task	theory of mind
trm_55ce70b20186b	visual	intraparietal	intraparietal sulcus	occipital	medial prefrontal	state	extrastriate	object	visual cortex	visually	detection
trm_4a3fd79d0b46f	visual	occipital	v1	spatial	intraparietal sulcus	intraparietal	early visual	visual cortex	lingual	color	visual attention
trm_557b4b27dfd5e	auditory	sounds	auditory cortex	listening	speech	acoustic	superior temporal	heschl	heschl gyrus	stg	visual form discrimination
trm_4a3fd79d0b043	visual	fusiform	occipito	occipito temporal	occipital	objects	occipitotemporal	lateral occipital	fusiform gyrus	ventral visual	selective attention
trm_558c7b337080f	face	fusiform	temporal	fusiform gyrus	temporal cortex	temporal sulcus	faces	ffa	semantic	fusiform face	right hand response execution
trm_557b48d40d3cf	vmpfc	ventromedial prefrontal	ventromedial	cortex vmpfc	medial prefrontal	default	default mode	mode	posterior cingulate	prefrontal cortex	negative emotion
trm_557b4904ee26d	occipital	visual	fusiform	occipito	occipito temporal	lateral occipital	objects	extrastriate	occipital cortex	object	object maintenance
trm_55c6f58e77fbe	cingulate	cingulate cortex	anterior cingulate	medial prefrontal	posterior cingulate	default mode	default	mode	mode network	anterior	story comprehension
trm_557b4aa070c10	fusiform	face	occipital	face ffa	lateral occipital	fusiform face	ffa	fusiform gyrus	inferior occipital	faces	selective control
trm_55ef273a77a86	visual	occipital	occipito temporal	occipito	perceptual	occipital cortex	occipitotemporal	lateral occipital	extrastriate	occipital gyrus	auditory tone perception
trm_4a3fd79d0b61f	finger	index finger	motor cortex	contralateral primary	movement	tapping	sensorimotor cortex	primary motor	m1	contralateral	decision
trm_557b474e2b578	inferior occipital	face	stimuli	fa	anisotropy fa	anisotropy	fractional anisotropy	fractional	matching	tensor	auditory tone detection
trm_4a3fd79d0ab65	occipital	fusiform	visual	lateral occipital	pain	occipito temporal	occipito	objects	face	fusiform gyrus	pattern recognition
trm_4a3fd79d09ab2	premotor	tasks	execution	premotor cortex	task	pre sma	sma	intraparietal	supplementary	intraparietal sulcus	auditory perception
