	add_date	analysis_level	brain_coverage	cognitive_contrast_cogatlas	cognitive_contrast_cogatlas_id	cognitive_paradigm_cogatlas	cognitive_paradigm_cogatlas_id	collection	collection_id	contrast_definition	contrast_definition_cogatlas	description	figure	file	file_size	collection_id	image_type	is_thresholded	map_type	modality	modify_date	name	not_mni	perc_bad_voxels	perc_voxels_outside	reduced_representation	smoothness_fwhm	statistic_parameters	thumbnail	url	image_id
0	2014-06-04T15:08:16.212524Z	group	95.5064490575	feedback	cnt_55399e161c884	Probabilistic classification task	trm_4cacf22a22d80	40	40	feedback		FSL5.0		http://neurovault.org/media/images/40/task001_cope02_feedback.nii.gz	874740	136	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:00:51.989575Z	task001_002_feedback.nii.gz	False	74.7205108633	12.9680813302	http://neurovault.org/media/images/40/transform_4mm_136.npy			http://neurovault.org/media/images/40/glass_brain_136.jpg	http://neurovault.org/images/136/	136
1	2015-03-19T19:32:34.157592Z	group	99.9886205976	0-back Face	cnt_55314b49e5c9d	working memory fMRI task paradigm	trm_550b50095d4a3	457	457	0-back Face		FSL5.0		http://neurovault.org/media/images/457/tfMRI_WM_0BK_FACE_zstat1.nii.gz	1184134	3186	statistic_map	False	Z map	fMRI-BOLD	2015-12-23T10:58:58.480751Z	tfMRI WM 0BK FACE zstat1	False	65.6937678714	26.2228006381	http://neurovault.org/media/images/457/transform_4mm_3186.npy	0.0	492.0	http://neurovault.org/media/images/457/glass_brain_3186.jpg	http://neurovault.org/images/3186/	3186
2	2014-08-20T13:17:00.966876Z	group	81.4101505622	left audio click	cnt_553e85f11747b	functional localizer fMRI tasks	trm_553e85265f51e	94	94	left audio click		Left button press with auditory cue		http://neurovault.org/media/images/94/left_button_press_auditory_cue_1.nii.gz	214325	420	statistic_map	False	T map	fMRI-BOLD	2015-12-23T04:34:23.777001Z	Left Button Press Auditory Cue	False	64.3846764848	0.859185053836	http://neurovault.org/media/images/94/transform_4mm_420.npy		93.0	http://neurovault.org/media/images/94/glass_brain_420_1.jpg	http://neurovault.org/images/420/	420
3	2014-06-04T15:14:36.357270Z	group	100.0	single task classification learning trials	cnt_4ebcaa755a7e5	single-task weather prediction 	trm_4ebc728326a13	43	43	single-task classification learning trials		FSL5.0		http://neurovault.org/media/images/43/task002_cope01_single-task%20classification.nii.gz	878224	165	statistic_map	False	T map	fMRI-BOLD	2015-12-23T19:43:54.266570Z	task002_001_single-task classification	False	74.6869422542	0.0	http://neurovault.org/media/images/43/transform_4mm_165.npy			http://neurovault.org/media/images/43/glass_brain_165_1.jpg	http://neurovault.org/images/165/	165
4	2015-03-19T19:31:51.940522Z	group	99.9886205976	Cue	cnt_55315226076d3	motor fMRI task paradigm	trm_550b53d7dd674	457	457	Cue		FSL5.0		http://neurovault.org/media/images/457/tfMRI_MOTOR_CUE_zstat1.nii.gz	1168682	3154	statistic_map	False	Z map	fMRI-BOLD	2015-12-23T09:14:48.266768Z	tfMRI MOTOR CUE zstat1	False	65.7102752072	26.18728373	http://neurovault.org/media/images/457/transform_4mm_3154.npy	0.0	490.0	http://neurovault.org/media/images/457/glass_brain_3154.jpg	http://neurovault.org/images/3154/	3154
5	2014-06-04T15:06:21.038735Z		99.9623604382	pumps average real reaction time	cnt_55399fa95aaee	balloon analogue risk task (BART)	trm_4d559bcd67c18	39	39	pumps average real reaction time		FSL5.0		http://neurovault.org/media/images/39/task001_cope03_pumps_fixed_real_RT.nii.gz	874892	116	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:02:25.691441Z	task001 pumps average real RT	False	74.6964699783	0.0	http://neurovault.org/media/images/39/transform_4mm_116.npy			http://neurovault.org/media/images/39/glass_brain_116.jpg	http://neurovault.org/images/116/	116
6	2015-03-06T01:30:53.392040Z	group	92.0348559849	reappraise negative stimulus minus attend negative stimulus	cnt_553a6ed942692	emotional regulation task	trm_4da890594742a	425	425	Reapp_Neg_Stim_gt_Look_Neg_Stim		FSL5.0		http://neurovault.org/media/images/425/task001_cope024_tstat1.nii.gz	810986	2866	statistic_map	False	T map	fMRI-BOLD	2015-12-23T10:58:40.096769Z	task001 cope024 tstat1	False	76.7031637583	0.0	http://neurovault.org/media/images/425/transform_4mm_2866.npy			http://neurovault.org/media/images/425/glass_brain_2866.jpg	http://neurovault.org/images/2866/	2866
7	2014-06-04T15:14:36.226736Z	group	100.0	tone counting trials	cnt_4ebca9e1d3a16	tone counting	trm_4ebc6a6b75ebf	43	43	tone counting trials		FSL5.0		http://neurovault.org/media/images/43/task001_cope01_tone%20counting.nii.gz	877090	159	statistic_map	False	T map	fMRI-BOLD	2015-12-23T10:25:11.851339Z	task001_001_tone counting.nii.gz	False	74.6869422542	0.0	http://neurovault.org/media/images/43/transform_4mm_159.npy			http://neurovault.org/media/images/43/glass_brain_159.jpg	http://neurovault.org/images/159/	159
8	2014-06-04T15:08:16.192523Z	group	95.6022986393	deterministic classification trials	cnt_4ebca72d737c1	deterministic classification	trm_4e8dd3831f0cc	40	40	task		FSL5.0		http://neurovault.org/media/images/40/task002_cope01_task.nii.gz	878329	135	statistic_map	False	T map	fMRI-BOLD	2015-12-23T09:15:11.189156Z	task002_001_task.nii.gz	False	74.7239452754	13.021924201	http://neurovault.org/media/images/40/transform_4mm_135.npy			http://neurovault.org/media/images/40/glass_brain_135.jpg	http://neurovault.org/images/135/	135
9	2014-06-04T15:19:16.766317Z	group	98.820918843	negative feedback	cnt_553a682f464e7	Probabilistic classification task	trm_4cacf22a22d80	44	44	negative feedback		FSL5.0		http://neurovault.org/media/images/44/task001_cope02_negative%20feedback.nii.gz	870987	172	statistic_map	False	T map	fMRI-BOLD	2015-12-23T19:43:53.229653Z	task001_002_negative feedback.nii.gz	False	74.9854037484	0.0	http://neurovault.org/media/images/44/transform_4mm_172.npy			http://neurovault.org/media/images/44/glass_brain_172_1.jpg	http://neurovault.org/images/172/	172
10	2013-06-12T14:47:19.050178Z		100.0	parametric gain	cnt_5181f79e38fb2	mixed gambles task	trm_4cacee4a1d875	3	3	parametric gain		Parametric effect of gains		http://neurovault.org/media/images/3/task001_cope02_parametric%20gain.nii.gz	873234	4	statistic_map	False	T map	fMRI-BOLD	2015-12-23T10:05:42.294459Z	task001_cope02_parametric gain	False	74.6869422542	0.0	http://neurovault.org/media/images/3/transform_4mm_4.npy			http://neurovault.org/media/images/3/glass_brain_4.jpg	http://neurovault.org/images/4/	4
11	2014-06-04T15:12:22.213267Z	group	99.926909223	failed stop-noncritical 	cnt_4ebca22149619	conditional stop signal task	trm_4cacf3fbc503b	42	42	failed stop-noncritical		FSL5.0		http://neurovault.org/media/images/42/task002_cope05_failed%20stop-noncritical.nii.gz	878341	154	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:00:58.559479Z	task002 005 failed stop-noncritical	False	74.7054437648	0.0	http://neurovault.org/media/images/42/transform_4mm_154.npy			http://neurovault.org/media/images/42/glass_brain_154.jpg	http://neurovault.org/images/154/	154
12	2015-04-18T06:41:38.093704Z	group	100.0	difference from indifference	cnt_5175b81f53bf3	mixed gambles task	trm_4cacee4a1d875	3	3	distance from indifference				http://neurovault.org/media/images/3/task001_cope04_distance%20from%20indifference.nii.gz	878581	8718	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:02:18.777368Z	task001_cope04_distance from indifference	False	74.6869422542	0.0	http://neurovault.org/media/images/3/transform_4mm_8718.npy			http://neurovault.org/media/images/3/glass_brain_8718.jpg	http://neurovault.org/images/8718/	8718
13	2015-03-19T19:32:43.479790Z	group	99.9886205976	2-back Face	cnt_55314b0643005	working memory fMRI task paradigm	trm_550b50095d4a3	457	457	2-back Face		FSL5.0		http://neurovault.org/media/images/457/tfMRI_WM_2BK_FACE_zstat1.nii.gz	1183225	3192	statistic_map	False	Z map	fMRI-BOLD	2015-12-23T10:58:58.639583Z	tfMRI WM 2BK FACE zstat1	False	65.6937678714	26.2228006381	http://neurovault.org/media/images/457/transform_4mm_3192.npy	0.0	492.0	http://neurovault.org/media/images/457/glass_brain_3192.jpg	http://neurovault.org/images/3192/	3192
14	2015-04-18T17:03:17.797485Z	group	92.0348559849	attend negative minus attend neutral stimulus	cnt_5679bec3715cd	emotional regulation task	trm_4da890594742a	425	425	Look Neg Stim		FSL5.0		http://neurovault.org/media/images/425/task001_cope05_Look_Neg_Stim.nii.gz	809966	8727	statistic_map	False	T map	fMRI-BOLD	2016-01-01T05:40:42.820741Z	task001 cope05 Look Neg Stim	False	76.7031637583	0.0	http://neurovault.org/media/images/425/transform_4mm_8727.npy			http://neurovault.org/media/images/425/glass_brain_8727.jpg	http://neurovault.org/images/8727/	8727
15	2015-03-19T19:32:00.571533Z	group	99.9886205976	Right Foot	cnt_5531528173117	motor fMRI task paradigm	trm_550b53d7dd674	457	457	Right Toe (Foot)		FSL5.0		http://neurovault.org/media/images/457/tfMRI_MOTOR_RF_zstat1.nii.gz	1181705	3160	statistic_map	False	Z map	fMRI-BOLD	2015-12-23T10:58:57.241531Z	tfMRI MOTOR RIGHT FOOT zstat1	False	65.7102752072	26.18728373	http://neurovault.org/media/images/457/transform_4mm_3160.npy	0.0	490.0	http://neurovault.org/media/images/457/glass_brain_3160.jpg	http://neurovault.org/images/3160/	3160
16	2014-06-04T15:08:16.254662Z	group	95.6022986393	feedback	cnt_55399dc274d97	deterministic classification	trm_4e8dd3831f0cc	40	40	feedback		FSL5.0		http://neurovault.org/media/images/40/task002_cope02_feedback.nii.gz	874675	138	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:00:44.530910Z	task002_002_feedback.nii.gz	False	74.7239452754	13.021924201	http://neurovault.org/media/images/40/transform_4mm_138.npy			http://neurovault.org/media/images/40/glass_brain_138.jpg	http://neurovault.org/images/138/	138
17	2015-03-19T19:32:19.768325Z	group	99.9820555577	Relational Processing	cnt_553149979dc2e	relational processing fMRI task paradigm	trm_550b5a47aa23e	457	457	Relational Processing		FSL5.0		http://neurovault.org/media/images/457/tfMRI_RELATIONAL_REL_zstat1.nii.gz	1179510	3175	statistic_map	False	Z map	fMRI-BOLD	2015-12-23T10:58:54.123596Z	tfMRI RELATIONAL REL zstat1	False	65.7151498567	26.1816360493	http://neurovault.org/media/images/457/transform_4mm_3175.npy	0.0	479.0	http://neurovault.org/media/images/457/glass_brain_3175.jpg	http://neurovault.org/images/3175/	3175
18	2014-06-04T15:12:22.009334Z	group	99.970238486	go trial	cnt_4b44a4d544ee7	stop signal task	tsk_4a57abb949e1a	42	42	go		FSL5.0		http://neurovault.org/media/images/42/task001_cope01_go.nii.gz	878731	143	statistic_map	False	T map	fMRI-BOLD	2015-12-23T19:43:22.481547Z	task001 001 go	False	74.6944758035	0.0	http://neurovault.org/media/images/42/transform_4mm_143.npy			http://neurovault.org/media/images/42/glass_brain_143_1.jpg	http://neurovault.org/images/143/	143
19	2015-03-10T03:16:06.549286Z	group	99.926909223	unsuccessful stop minus successful stop	cnt_55399a008d960	conditional stop signal task	trm_4cacf3fbc503b	42	42	 unsucc minus succ stop		FSL5.0		http://neurovault.org/media/images/42/task002_cope08_unsucc_minus_succ_stop.nii.gz	877640	3040	statistic_map	False	T map	fMRI-BOLD	2015-12-23T19:52:42.647038Z	task002 008 unsucc minus succ stop	False	74.7054437648	0.0	http://neurovault.org/media/images/42/transform_4mm_3040.npy			http://neurovault.org/media/images/42/glass_brain_3040_1.jpg	http://neurovault.org/images/3040/	3040
20	2014-06-04T15:06:21.127598Z	group	99.9623604382	explode average	cnt_55399f9ac9c55	balloon analogue risk task (BART)	trm_4d559bcd67c18	39	39	explode average		FSL5.0		http://neurovault.org/media/images/39/task001_cope07_explode_fixed.nii.gz	877656	119	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:02:21.780338Z	task001 explode average	False	74.6964699783	0.0	http://neurovault.org/media/images/39/transform_4mm_119.npy			http://neurovault.org/media/images/39/glass_brain_119.jpg	http://neurovault.org/images/119/	119
21	2014-06-04T15:12:22.062819Z	group	99.970238486	failed stop	cnt_55399d6bcd8dc	stop signal task	tsk_4a57abb949e1a	42	42	failed stop		FSL5.0		http://neurovault.org/media/images/42/task001_cope03_failed%20stop.nii.gz	878293	146	statistic_map	False	T map	fMRI-BOLD	2015-12-23T07:42:21.638427Z	task001 003 failed stop	False	74.6944758035	0.0	http://neurovault.org/media/images/42/transform_4mm_146.npy			http://neurovault.org/media/images/42/glass_brain_146.jpg	http://neurovault.org/images/146/	146
22	2014-06-04T15:06:21.179220Z		99.9623604382	pumps parametric	cnt_55399f8675b23	balloon analogue risk task (BART)	trm_4d559bcd67c18	39	39	pumps parametric		FSL5.0		http://neurovault.org/media/images/39/task001_cope02_pumps_demean.nii.gz	877288	122	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:02:20.983133Z	task001 pumps parametric	False	74.6964699783	0.0	http://neurovault.org/media/images/39/transform_4mm_122.npy			http://neurovault.org/media/images/39/glass_brain_122.jpg	http://neurovault.org/images/122/	122
23	2015-03-05T20:51:30.358478Z	group	99.9164051592	visual standard stimulus presentation	cnt_553a7710d845a	oddball task	tsk_4a57abb949bf6	417	417	visual standard		FSL5.0		http://neurovault.org/media/images/417/model001_task002_cope006_tstat1.nii.gz	870735	2718	statistic_map	False	T map	fMRI-BOLD	2015-12-23T13:16:35.085935Z	model001 task002 cope006 tstat1	False	74.7081026645	0.0	http://neurovault.org/media/images/417/transform_4mm_2718.npy			http://neurovault.org/media/images/417/glass_brain_2718.jpg	http://neurovault.org/images/2718/	2718
24	2014-06-04T15:19:16.786560Z	group	98.820918843	positive feedback	cnt_553a68284e225	Probabilistic classification task	trm_4cacf22a22d80	44	44	positive feedback		FSL5.0		http://neurovault.org/media/images/44/task001_cope01_positive%20feedback.nii.gz	870898	173	statistic_map	False	T map	fMRI-BOLD	2015-12-23T19:43:52.504855Z	task001_001_positive feedback.nii.gz	False	74.9854037484	0.0	http://neurovault.org/media/images/44/transform_4mm_173.npy			http://neurovault.org/media/images/44/glass_brain_173_1.jpg	http://neurovault.org/images/173/	173
25	2014-06-04T15:14:36.374252Z	group	100.0	dual task classification learning trials	cnt_4ebcaa463d20e	dual-task weather prediction	trm_4ebc98cc77e7b	43	43	dual-task classification learning trials		FSL5.0		http://neurovault.org/media/images/43/task003_cope01_dual-task%20classification.nii.gz	879840	166	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:03:04.564072Z	task003_001_dual-task classification	False	74.6869422542	0.0	http://neurovault.org/media/images/43/transform_4mm_166.npy			http://neurovault.org/media/images/43/glass_brain_166_1.jpg	http://neurovault.org/images/166/	166
26	2015-03-19T19:32:32.776511Z	group	99.9886205976	0-back Body	cnt_55314b2a72bee	working memory fMRI task paradigm	trm_550b50095d4a3	457	457	0-back Body		FSL5.0		http://neurovault.org/media/images/457/tfMRI_WM_0BK_BODY_zstat1.nii.gz	1181692	3185	statistic_map	False	Z map	fMRI-BOLD	2015-12-23T04:35:32.192013Z	tfMRI WM 0BK BODY zstat1	False	65.6937678714	26.2228006381	http://neurovault.org/media/images/457/transform_4mm_3185.npy	0.0	492.0	http://neurovault.org/media/images/457/glass_brain_3185_1.jpg	http://neurovault.org/images/3185/	3185
27	2015-03-06T01:30:50.454751Z	group	92.0348559849	attend neutral stimulus	cnt_553a6e7daf8e6	emotional regulation task	trm_4da890594742a	425	425	Look_Neutral_Stim		FSL5.0		http://neurovault.org/media/images/425/task001_cope004_tstat1.nii.gz	812900	2863	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:03:16.315885Z	task001 cope004 tstat1	False	76.7031637583	0.0	http://neurovault.org/media/images/425/transform_4mm_2863.npy			http://neurovault.org/media/images/425/glass_brain_2863.jpg	http://neurovault.org/images/2863/	2863
28	2014-12-30T22:45:19.552546Z	group	80.4914661423	[why face minus how nonsocial] minus [why nonsocial minus how face]	cnt_554109af50e85	why/how task	trm_53c4465b0466f	297	297	[why face minus how face] minus [why nonsocial minus how nonsocial]		[Why_Face > How_Face] > [Why_Nonsocial > How_Nonsocial]		http://neurovault.org/media/images/297/Tmap_Why_FaceHow_Nonsocial_-_Why_NonsocialHow_Face.nii.gz	218721	1586	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:03:20.166146Z	[Why_Face > How_Face] > [Why_Nonsocial > How_Nonsocial]	False	63.9426019246	3.17973348741	http://neurovault.org/media/images/297/transform_4mm_1586.npy		18.0	http://neurovault.org/media/images/297/glass_brain_1586.jpg	http://neurovault.org/images/1586/	1586
29	2014-08-20T13:17:00.956002Z	group	81.4101505622	video sentences	cnt_553e865074ad4	functional localizer fMRI tasks	trm_553e85265f51e	94	94	video sentences		Sentence reading		http://neurovault.org/media/images/94/sentence_reading_1.nii.gz	214293	419	statistic_map	False	T map	fMRI-BOLD	2015-12-23T04:34:24.175070Z	Sentence reading	False	64.3846764848	0.859185053836	http://neurovault.org/media/images/94/transform_4mm_419.npy		93.0	http://neurovault.org/media/images/94/glass_brain_419_1.jpg	http://neurovault.org/images/419/	419
30	2015-01-10T05:49:51.250971Z		97.7201804948	reappraise negative rating	cnt_553a6e9a84bd2	emotional regulation task	trm_4da890594742a	307	307			mediation results (Figure 4): activity during cue/anticipation that shows an amygdala-mediated relationship with reappraisal success (a*b mediation path)		http://neurovault.org/media/images/307/Denny_etal_2014_reappraisal_anticipation_2.nii.gz	1344489	1750	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:01:23.924530Z	mediation results	False	61.9033955257	35.0704188489	http://neurovault.org/media/images/307/transform_4mm_1750.npy		25.0	http://neurovault.org/media/images/307/glass_brain_1750.jpg	http://neurovault.org/images/1750/	1750
